"library","run","run.lib","sample","seq.notes","Sequenced","Project1","Project2","Oxley"
"EB510","oxley.1","oxley.1~EB510","EB510",,"Y","Y",,
"EB515","oxley.1","oxley.1~EB515","EB515",,"Y","Y",,
"EB519","oxley.1","oxley.1~EB519","EB519",,"Y","Y",,
"EB521","oxley.1","oxley.1~EB521","EB521",,"Y","Y",,
"EB522","oxley.1","oxley.1~EB522","EB522",,"Y","Y",,
"EB523","oxley.1","oxley.1~EB523","EB523",,"Y","Y",,
"EB524","oxley.1","oxley.1~EB524","EB524",,"Y","Y",,
"EB525","oxley.1","oxley.1~EB525","EB525",,"Y","Y",,
"EB526","oxley.1","oxley.1~EB526","EB526",,"Y","Y",,
"EB527","oxley.1","oxley.1~EB527","EB527",,"Y","Y",,
"EB528","oxley.1","oxley.1~EB528","EB528",,"Y","Y",,
"EB529","oxley.1","oxley.1~EB529","EB529",,"Y","Y",,
"EB530","oxley.1","oxley.1~EB530","EB530",,"Y","Y",,
"EB531","oxley.1","oxley.1~EB531","EB531",,"Y","Y",,
"EB534","oxley.1","oxley.1~EB534","EB534",,"Y","Y",,
"EB535","oxley.1","oxley.1~EB535","EB535",,"Y","Y",,
"EB536","oxley.1","oxley.1~EB536","EB536",,"Y","Y",,
